,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
655,NMB0317,NGO_1684,98.101,158,3,0,1,158,1,158,9.77e-118,325.0,158,1.0,<=>
656,NMB0318,NGO_1683,97.922,385,8,0,1,385,1,385,0.0,753.0,385,1.0,<=>
658,NMB0319,NGO_1682,95.652,506,22,0,1,506,1,506,0.0,972.0,509,0.9941060903732809,<=>
660,NMB0321,NGO_1680,100.0,78,0,0,1,78,1,78,1.99e-53,156.0,78,1.0,<=>
661,NMB0322,NGO_1679,98.077,52,1,0,1,52,1,52,7.5e-33,102.0,52,1.0,<=>
662,NMB0323,NGO_1678,98.228,395,7,0,1,395,1,395,0.0,800.0,395,1.0,<=>
663,NMB0324,NGO_1677,98.901,91,1,0,1,91,1,91,1.46e-63,183.0,91,1.0,<=>
664,NMB0325,NGO_1676,99.029,103,1,0,1,103,5,107,4.89e-71,203.0,103,1.0,<=>
665,NMB0326,NGO_1675,97.846,325,7,0,1,325,1,325,0.0,642.0,325,1.0,<=>
667,NMB0329,NGO_1673,99.284,559,4,0,1,559,1,559,0.0,1144.0,559,1.0,<=>
671,NMB0330,NGO_1672,97.143,70,2,0,1,70,37,106,3.7399999999999996e-48,144.0,70,1.0,<=>
672,NMB0331,NGO_1671,96.172,209,8,0,1,209,1,209,1.7999999999999998e-147,405.0,211,0.990521327014218,<=>
673,NMB0332,NGO_1670,97.544,285,7,0,1,285,1,285,0.0,558.0,287,0.9930313588850174,<=>
674,NMB0333,NGO_1669,99.27,411,3,0,1,411,1,411,0.0,828.0,411,1.0,<=>
675,NMB0334,NGO_1668,94.526,548,30,0,1,548,1,548,0.0,1074.0,548,1.0,<=>
677,NMB0335,NGO_1667,98.54,274,4,0,1,274,1,274,0.0,549.0,274,1.0,<=>
678,NMB0336,NGO_1666,100.0,262,0,0,1,262,1,262,0.0,531.0,262,1.0,<=>
680,NMB0337,NGO_1665,98.198,333,6,0,1,333,1,333,0.0,679.0,333,1.0,<=>
681,NMB0338,NGO_1663,87.619,105,13,0,57,161,1,105,7.17e-52,157.0,161,0.6521739130434783,<=>
682,NMB0339,NGO_1662,97.949,390,8,0,1,390,1,390,0.0,798.0,390,1.0,<=>
683,NMB0340,NGO_08805,92.982,114,8,0,26,139,1,114,7.7e-77,219.0,139,0.8201438848920863,<=>
684,NMB0342,NGO_1659,94.35,177,10,0,1,177,1,177,3.3e-107,300.0,177,1.0,<=>
685,NMB0343,NGO_1658,93.548,93,6,0,1,93,1,93,1.26e-60,176.0,93,1.0,<=>
686,NMB0344,NGO_1657,98.925,93,1,0,1,93,1,93,7.56e-65,186.0,93,1.0,<=>
688,NMB0345,NGO_1656,98.616,289,4,0,1,289,1,289,0.0,573.0,289,1.0,<=>
690,NMB0346,NGO_1655,96.047,253,10,0,1,253,1,253,2.6799999999999997e-165,453.0,253,1.0,<=>
692,NMB0347,NGO_1654,99.39,164,1,0,1,164,1,164,1.97e-120,332.0,164,1.0,<=>
693,NMB0348,NGO_1612,96.25,320,12,0,18,337,1,320,0.0,627.0,337,0.9495548961424333,<=>
696,NMB0349,NGO_1611,95.27,296,14,0,1,296,1,296,0.0,583.0,296,1.0,<=>
699,NMB0350,NGO_1967,57.627,118,48,1,32,149,1,116,7.75e-43,134.0,151,0.7814569536423841,->
702,NMB0351,NGO_1610,93.182,352,24,0,1,352,1,352,0.0,665.0,352,1.0,<=>
703,NMB0352,NGO_1609,96.923,325,10,0,1,325,1,325,0.0,628.0,325,1.0,<=>
705,NMB0353,NGO_1608,93.296,179,12,0,1,179,1,179,4.6100000000000004e-122,338.0,179,1.0,<=>
707,NMB0354,NGO_1607,97.423,194,5,0,1,194,1,194,2.28e-144,395.0,194,1.0,<=>
708,NMB0355,NGO_1606,93.785,177,11,0,1,177,1,177,5.7699999999999996e-120,332.0,177,1.0,<=>
709,NMB0356,NGO_1605,96.327,245,9,0,11,255,1,245,3.0100000000000002e-173,473.0,255,0.9607843137254902,<=>
739,NMB0357,NGO_1603,94.017,234,14,0,1,234,1,234,3.45e-168,459.0,234,1.0,<=>
741,NMB0358,NGO_1602,91.111,270,24,0,1,270,1,270,0.0,502.0,270,1.0,<=>
743,NMB0359,NGO_1600,98.309,473,8,0,1,473,1,473,0.0,969.0,473,1.0,<=>
744,NMB0360,NGO_1599,97.196,428,12,0,1,428,1,428,0.0,825.0,428,1.0,<=>
745,NMB0361,NGO_1598,96.739,92,3,0,1,92,1,92,4.43e-65,187.0,92,1.0,<=>
746,NMB0366,NGO_08475,96.296,378,14,0,1,378,1,378,0.0,758.0,378,1.0,<=>
748,NMB0367,NGO_1591,91.27,126,11,0,4,129,1,126,3.82e-82,233.0,129,0.9767441860465116,->
750,NMB0368,NGO_1384,97.386,153,3,1,1,153,1,152,1.07e-106,297.0,153,1.0,<=>
751,NMB0369,NGO_1385,98.462,130,2,0,1,130,81,210,4.73e-92,261.0,130,1.0,<=>
757,NMB0370,NGO_1591,93.651,126,8,0,1,126,1,126,8.35e-85,239.0,126,1.0,<=>
760,NMB0371,NGO_1590,96.97,132,4,0,1,132,1,132,1.82e-93,262.0,136,0.9705882352941176,<=>
763,NMB0372,NGO_1589,88.496,226,26,0,1,226,1,226,5.1e-150,412.0,226,1.0,<=>
769,NMB0374,NGO_1585,93.023,344,24,0,1,344,1,344,0.0,646.0,468,0.7350427350427351,<=>
777,NMB0375,NGO_1584,97.134,314,9,0,1,314,1,314,0.0,623.0,314,1.0,->
781,NMB0377,NGO_1583,96.467,368,13,0,10,377,1,368,0.0,733.0,377,0.9761273209549072,<=>
782,NMB0378,NGO_1581,96.0,525,21,0,1,525,1,525,0.0,993.0,525,1.0,<=>
783,NMB0379,NGO_1580,99.156,474,4,0,1,474,1,474,0.0,974.0,474,1.0,<=>
785,NMB0380,NGO_1579,97.143,245,7,0,1,245,1,245,1.23e-177,484.0,245,1.0,<=>
786,NMB0381,NGO_1578,97.792,317,7,0,1,317,1,317,0.0,639.0,317,1.0,<=>
790,NMB0382,NGO_1577,94.65,243,7,1,1,243,1,237,1.6499999999999998e-170,465.0,243,1.0,<=>
792,NMB0384,NGO_08350,94.949,99,5,0,1,99,1,99,6.79e-67,192.0,99,1.0,<=>
793,NMB0385,NGO_1575,96.865,319,10,0,1,319,1,319,0.0,616.0,319,1.0,<=>
794,NMB0386,NGO_1574,97.531,162,4,0,1,162,1,162,2.18e-108,302.0,162,1.0,<=>
795,NMB0387,NGO_1573,98.39,559,9,0,1,559,1,559,0.0,1113.0,559,1.0,<=>
843,NMB0388,NGO_08325,95.595,227,10,0,86,312,1,227,1.6000000000000002e-156,438.0,452,0.5022123893805309,<=>
846,NMB0390,NGO_08310,96.561,378,13,0,6,383,1,378,0.0,751.0,753,0.50199203187251,<=>
849,NMB0391,NGO_1052,26.842,190,129,5,5,188,10,195,3.83e-06,42.4,222,0.8558558558558559,->
850,NMB0392,NGO_1568,95.427,503,23,0,1,503,1,503,0.0,957.0,503,1.0,<=>
852,NMB0394,NGO_1567,96.765,371,12,0,1,371,1,371,0.0,738.0,371,1.0,<=>
853,NMB0395,NGO_1566,97.125,313,9,0,1,313,1,313,0.0,620.0,313,1.0,<=>
854,NMB0396,NGO_1565,96.599,294,10,0,1,294,1,294,0.0,571.0,294,1.0,<=>
855,NMB0398,NGO_1562,89.362,94,10,0,1,94,1,94,2.29e-56,165.0,94,1.0,<=>
856,NMB0399,NGO_1561,95.686,255,11,0,1,255,1,255,0.0,513.0,257,0.9922178988326849,<=>
858,NMB0400,NGO_04785,91.473,129,11,0,23,151,8,136,1.04e-80,233.0,191,0.675392670157068,<=>
869,NMB0401,NGO_08225,98.17,1202,22,0,1,1202,1,1202,0.0,2427.0,1202,1.0,<=>
872,NMB0402,NGO_1552,99.214,509,4,0,1,509,1,509,0.0,1004.0,509,1.0,<=>
873,NMB0404,NGO_08205,98.131,107,2,0,1,107,1,107,6.17e-71,203.0,107,1.0,<=>
874,NMB0405,NGO_1550,97.595,499,12,0,1,499,1,499,0.0,977.0,499,1.0,<=>
875,NMB0406,NGO_1549,95.517,290,13,0,1,290,1,290,0.0,501.0,290,1.0,<=>
876,NMB0407,NGO_1548,95.814,215,9,0,1,215,1,215,2.5099999999999998e-149,410.0,215,1.0,<=>
878,NMB0408,NGO_1547,98.175,274,5,0,1,274,1,274,0.0,536.0,274,1.0,<=>
879,NMB0409,NGO_1546,92.893,394,28,0,10,403,1,394,0.0,749.0,404,0.9752475247524752,<=>
880,NMB0410,NGO_1545,98.684,152,2,0,1,152,1,152,1.19e-107,299.0,152,1.0,<=>
881,NMB0411,NGO_1544,97.799,318,7,0,1,318,1,318,0.0,624.0,329,0.9665653495440729,<=>
882,NMB0412,NGO_1543,97.727,88,2,0,3,90,1,88,2.98e-60,174.0,90,0.9777777777777777,<=>
883,NMB0413,NGO_1542,98.456,583,8,1,1,582,1,583,0.0,1171.0,582,1.0017182130584192,<=>
885,NMB0414,NGO_1541,96.957,493,15,0,1,493,1,493,0.0,991.0,493,1.0,<=>
888,NMB0416,NGO_1539,94.298,456,23,1,1,456,1,453,0.0,846.0,456,1.0,<=>
893,NMB0417,NGO_1538,98.305,59,1,0,1,59,1,59,3.67e-38,116.0,59,1.0,<=>
894,NMB0418,NGO_1537,98.061,361,7,0,1,361,1,361,0.0,711.0,361,1.0,<=>
895,NMB0419,NGO_1536,50.754,199,26,2,1,199,1,127,1.03e-44,141.0,199,1.0,<=>
898,NMB0420,NGO_1535,95.964,446,18,0,1,446,1,446,0.0,844.0,446,1.0,<=>
903,NMB0421,NGO_1534,98.821,424,5,0,1,424,1,424,0.0,834.0,424,1.0,<=>
904,NMB0422,NGO_1533,97.191,356,10,0,1,356,1,356,0.0,706.0,356,1.0,<=>
905,NMB0423,NGO_1532,97.447,470,12,0,1,470,1,470,0.0,937.0,470,1.0,<=>
909,NMB0424,NGO_1531,98.033,305,6,0,1,305,1,305,0.0,605.0,305,1.0,<=>
911,NMB0425,NGO_1530,98.305,236,4,0,1,236,8,243,2.5800000000000002e-173,472.0,236,1.0,<=>
912,NMB0426,NGO_1529,98.554,415,6,0,1,415,1,415,0.0,823.0,415,1.0,<=>
913,NMB0427,NGO_1528,98.728,393,5,0,1,393,1,393,0.0,784.0,393,1.0,<=>
914,NMB0428,NGO_1527,96.568,437,15,0,1,437,1,437,0.0,837.0,437,1.0,<=>
915,NMB0429,NGO_08070,97.143,35,1,0,1,35,1,35,1.26e-18,65.9,35,1.0,<=>
916,NMB0430,NGO_1526,98.63,292,4,0,2,293,1,292,0.0,591.0,293,0.9965870307167235,<=>
917,NMB0431,NGO_1525,96.364,385,12,1,1,385,1,383,0.0,768.0,385,1.0,<=>
919,NMB0432,NGO_1524,98.859,263,3,0,1,263,1,263,0.0,494.0,263,1.0,<=>
920,NMB0433,NGO_0679,27.072,362,217,12,173,516,106,438,1.11e-18,85.9,869,0.41657077100115075,->
921,NMB0435,NGO_1521,94.75,400,21,0,1,400,1,400,0.0,771.0,400,1.0,<=>
923,NMB0436,NGO_1520,93.72,207,13,0,8,214,1,207,7.28e-141,388.0,214,0.9672897196261683,<=>
925,NMB0437,NGO_1519,93.919,148,9,0,1,148,1,148,3.85e-103,287.0,148,1.0,<=>
927,NMB0438,NGO_1517,86.992,123,16,0,1,123,1,123,9.16e-76,216.0,123,1.0,<=>
928,NMB0439,NGO_1516,97.403,385,10,0,1,385,1,385,0.0,734.0,385,1.0,<=>
929,NMB0440,NGO_1515,95.533,291,13,0,1,291,1,291,0.0,563.0,291,1.0,<=>
930,NMB0441,NGO_1514,97.048,271,8,0,1,271,1,271,0.0,533.0,271,1.0,<=>
931,NMB0444,NGO_1512,97.535,284,7,0,1,284,1,284,0.0,544.0,285,0.9964912280701754,<=>
934,NMB0445,NGO_0903,28.0,175,104,4,35,203,36,194,0.000173,39.3,411,0.4257907542579075,->
935,NMB0446,NGO_1510,98.898,363,4,0,1,363,1,363,0.0,740.0,363,1.0,<=>
936,NMB0447,NGO_1509,82.449,245,43,0,1,245,1,245,3.92e-145,402.0,264,0.928030303030303,<=>
937,NMB0448,NGO_1508,98.354,243,4,0,1,243,1,243,1.8699999999999998e-176,481.0,243,1.0,<=>
938,NMB0452,NGO_1507,96.032,126,5,0,1,126,1,126,7.89e-86,242.0,126,1.0,<=>
939,NMB0453,NGO_1506,95.556,270,12,0,1,270,1,270,0.0,523.0,270,1.0,<=>
940,NMB0454,NGO_1505,97.163,141,4,0,1,141,1,141,1e-102,286.0,141,1.0,<=>
941,NMB0455,NGO_1504,94.226,381,22,0,1,381,1,381,0.0,719.0,381,1.0,<=>
942,NMB0456,NGO_1502,98.082,417,8,0,1,417,1,417,0.0,835.0,417,1.0,<=>
943,NMB0457,NGO_1501,95.455,154,7,0,1,154,1,154,2.94e-107,298.0,154,1.0,<=>
944,NMB0458,NGO_1500,97.786,271,6,0,1,271,1,271,0.0,540.0,271,1.0,<=>
945,NMB0459,NGO_1499,98.108,370,7,0,1,370,1,370,0.0,749.0,370,1.0,<=>
946,NMB0460,NGO_1496,61.781,730,236,16,1,713,1,704,0.0,827.0,713,1.023842917251052,<=>
947,NMB0461,NGO_1495,93.996,916,52,2,1,916,1,913,0.0,1770.0,916,1.0,<=>
953,NMB0462,NGO_1494,98.163,381,7,0,80,460,1,381,0.0,758.0,460,0.8282608695652174,<=>
956,NMB0463,NGO_1493,100.0,88,0,0,1,88,1,88,1.26e-56,165.0,88,1.0,<=>
957,NMB0464,NGO_1492,98.67,376,5,0,8,383,1,376,0.0,769.0,383,0.9817232375979112,<=>
958,NMB0465,NGO_1491,98.291,234,4,0,1,234,1,234,3.42e-165,451.0,234,1.0,<=>
960,NMB0466,NGO_1454,25.0,224,127,7,355,565,304,499,1.95e-09,55.8,603,0.3714759535655058,->
961,NMB0467,NGO_1488,96.842,95,3,0,1,95,1,95,6.0200000000000005e-65,187.0,95,1.0,<=>
962,NMB0468,NGO_1487,99.366,631,4,0,1,631,1,631,0.0,1302.0,631,1.0,<=>
964,NMB0469,NGO_1486,99.675,308,1,0,1,308,1,308,0.0,634.0,308,1.0,<=>
965,NMB0470,NGO_1485,99.182,489,4,0,1,489,1,489,0.0,944.0,489,1.0,<=>
966,NMB0471,NGO_1484,97.391,345,9,0,15,359,1,345,0.0,699.0,359,0.9610027855153204,<=>
967,NMB0472,NGO_1483,98.688,381,5,0,1,381,1,381,0.0,778.0,381,1.0,<=>
968,NMB0473,NGO_1482,93.981,216,13,0,1,216,1,216,1.38e-156,428.0,216,1.0,<=>
969,NMB0474,NGO_1481,95.402,261,12,0,1,261,1,261,0.0,521.0,261,1.0,<=>
970,NMB0475,NGO_07810,98.462,130,2,0,335,464,1,130,3.39e-88,261.0,464,0.2801724137931034,<=>
973,NMB0476,NGO_1479,97.74,177,4,0,1,177,1,177,3.11e-127,360.0,366,0.48360655737704916,<=>
975,NMB0479,NGO_1475,100.0,120,0,0,1,120,1,120,1.5599999999999998e-82,233.0,120,1.0,<=>
976,NMB0480,NGO_1140,89.063,128,14,0,1,128,1,128,2.01e-76,231.0,132,0.9696969696969697,->
979,NMB0481,NGO_1141,96.226,106,4,0,6,111,1,106,9.51e-74,210.0,111,0.954954954954955,<=>
980,NMB0482,NGO_1267,92.473,93,7,0,1,93,1,93,2.5e-61,177.0,93,1.0,->
985,NMB0483,NGO_1268,94.737,95,5,0,1,95,1,95,6.5e-53,156.0,95,1.0,->
988,NMB0484,NGO_1269,96.97,66,2,0,1,66,1,66,2.9500000000000003e-43,130.0,66,1.0,->
991,NMB0485,NGO_1270,97.938,97,2,0,1,97,1,97,2.8500000000000003e-66,190.0,97,1.0,->
994,NMB0494,NGO_0451,93.525,139,9,0,1,139,1,139,2.07e-90,267.0,162,0.8580246913580247,->
997,NMB0496,NGO_03725,54.403,318,142,1,243,560,1,315,7.01e-120,352.0,560,0.5678571428571428,->
999,NMB0518,NGO_1000,88.0,25,3,0,1,25,1,25,1.45e-11,51.2,84,0.2976190476190476,<=>
1000,NMB0522,NGO_1302,90.476,42,4,0,1,42,177,218,2.11e-24,85.5,42,1.0,->
1016,NMB0524,NGO_0127,94.089,406,24,0,1,406,1,406,0.0,754.0,407,0.9975429975429976,<=>
1018,NMB0525,NGO_0129,93.333,225,10,1,1,220,1,225,1.92e-158,433.0,220,1.0227272727272727,<=>
1019,NMB0526,NGO_0130,94.798,173,8,1,1,173,1,172,3.48e-122,338.0,173,1.0,<=>
1020,NMB0527,NGO_0131,95.745,141,6,0,1,141,1,141,3.65e-102,285.0,141,1.0,<=>
1021,NMB0529,NGO_00720,95.305,213,10,0,1,213,1,213,8.310000000000001e-157,428.0,213,1.0,<=>
1022,NMB0530,NGO_0135,93.923,362,22,0,1,362,1,362,0.0,692.0,362,1.0,<=>
1023,NMB0531,NGO_0136,98.422,507,8,0,1,507,1,507,0.0,998.0,507,1.0,<=>
1024,NMB0532,NGO_0138,97.2,500,14,0,1,500,1,500,0.0,983.0,500,1.0,<=>
1025,NMB0533,NGO_0139,98.095,210,4,0,1,210,1,210,9.549999999999999e-159,433.0,210,1.0,<=>
1027,NMB0534,NGO_0140,95.652,138,6,0,1,138,42,179,3.13e-92,261.0,138,1.0,<=>
1028,NMB0535,NGO_0142,99.265,408,3,0,20,427,1,408,0.0,814.0,427,0.955503512880562,<=>
1029,NMB0536,NGO_0143,96.957,460,14,0,1,460,1,460,0.0,895.0,460,1.0,<=>
1030,NMB0537,NGO_0144,96.364,275,10,0,1,275,1,275,0.0,540.0,275,1.0,<=>
1032,NMB0538,NGO_0145,95.266,169,8,0,1,169,1,169,3.48e-114,317.0,170,0.9941176470588236,<=>
1033,NMB0539,NGO_0146,93.91,312,19,0,1,312,1,312,0.0,590.0,312,1.0,<=>
1034,NMB0540,NGO_1452,97.222,396,11,0,1,396,1,396,0.0,803.0,398,0.9949748743718593,<=>
1036,NMB0541,NGO_1451,95.181,166,8,0,1,166,1,166,2.39e-116,322.0,166,1.0,<=>
1037,NMB0542,NGO_1450,95.588,68,3,0,1,68,1,68,4.19e-45,134.0,68,1.0,<=>
1038,NMB0543,NGO_1449,99.433,529,3,0,1,529,1,529,0.0,1045.0,529,1.0,<=>
1039,NMB0544,NGO_1448,92.469,239,18,0,1,239,1,239,9.06e-168,458.0,241,0.991701244813278,<=>
1040,NMB0545,NGO_1443,96.902,1162,36,0,1,1162,1,1162,0.0,2263.0,1162,1.0,<=>
1041,NMB0546,NGO_1442,98.847,347,4,0,3,349,1,347,0.0,694.0,349,0.994269340974212,<=>
1043,NMB0547,NGO_1441,83.077,130,22,0,1,130,1,130,7.39e-80,227.0,130,1.0,<=>
1046,NMB0548,NGO_1440,96.692,393,13,0,1,393,1,393,0.0,765.0,393,1.0,<=>
1048,NMB0549,NGO_1439,98.295,645,11,0,1,645,1,645,0.0,1288.0,645,1.0,<=>
1077,NMB0550,NGO_1438,99.231,260,2,0,1,260,1,260,0.0,537.0,261,0.9961685823754789,<=>
1078,NMB0551,NGO_1437,95.205,730,35,0,1,730,1,730,0.0,1445.0,730,1.0,<=>
1080,NMB0552,NGO_07590,93.571,280,17,1,79,358,13,291,0.0,525.0,358,0.7821229050279329,<=>
1081,NMB0554,NGO_1429,97.823,643,14,0,1,643,1,643,0.0,1261.0,643,1.0,<=>
1083,NMB0555,NGO_1428,94.505,91,5,0,1,91,1,91,6.66e-63,181.0,91,1.0,<=>
1084,NMB0556,NGO_1427,99.127,229,2,0,1,229,1,229,1.2699999999999999e-170,465.0,229,1.0,<=>
1087,NMB0557,NGO_1426,100.0,113,0,0,1,113,1,113,3.79e-81,229.0,113,1.0,<=>
1089,NMB0558,NGO_07535,68.148,135,39,2,1,132,1,134,1.01e-56,170.0,155,0.8709677419354839,<=>
1090,NMB0559,NGO_1424,97.222,504,14,0,1,504,1,504,0.0,1007.0,504,1.0,<=>
1091,NMB0560,NGO_1423,97.802,273,6,0,1,273,1,273,0.0,551.0,273,1.0,<=>
1093,NMB0561,NGO_1422,99.482,193,1,0,1,193,1,193,1.0099999999999999e-140,386.0,193,1.0,<=>
1094,NMB0562,NGO_1421,98.611,72,1,0,1,72,1,72,1.46e-47,141.0,72,1.0,<=>
1095,NMB0563,NGO_1420,96.591,352,12,0,1,352,1,352,0.0,702.0,352,1.0,<=>
1097,NMB0564,NGO_1418,98.03,406,8,0,1,406,1,406,0.0,825.0,406,1.0,<=>
1100,NMB0565,NGO_1417,98.485,198,3,0,1,198,1,198,1.77e-138,381.0,198,1.0,<=>
1102,NMB0566,NGO_1416,99.522,209,1,0,1,209,1,209,7.25e-153,418.0,209,1.0,<=>
1104,NMB0567,NGO_1415,98.456,259,4,0,1,259,1,259,0.0,511.0,259,1.0,<=>
1105,NMB0568,NGO_1414,98.054,411,8,0,1,411,1,411,0.0,810.0,411,1.0,<=>
1106,NMB0569,NGO_1413,96.205,448,17,0,1,448,1,448,0.0,885.0,448,1.0,<=>
1107,NMB0570,NGO_1411,98.734,474,6,0,1,474,1,474,0.0,927.0,474,1.0,<=>
1108,NMB0571,NGO_1410,97.5,120,3,0,1,120,1,120,1.54e-83,236.0,120,1.0,<=>
1109,NMB0572,NGO_1408,98.492,199,3,0,4,202,1,199,4.48e-147,403.0,202,0.9851485148514851,<=>
1110,NMB0573,NGO_1407,100.0,161,0,0,28,188,1,161,1.28e-118,329.0,188,0.8563829787234043,<=>
1112,NMB0574,NGO_1406,97.003,367,11,0,1,367,1,367,0.0,723.0,367,1.0,<=>
1113,NMB0575,NGO_1404,94.574,129,7,0,1,129,6,134,3.25e-87,246.0,129,1.0,<=>
1114,NMB0576,NGO_1403,98.798,416,5,0,1,416,1,416,0.0,840.0,416,1.0,<=>
1116,NMB0578,NGO_07395,96.373,193,7,0,153,345,1,193,2.4999999999999998e-139,389.0,345,0.5594202898550724,<=>
1118,NMB0579,NGO_1399,97.073,205,6,0,1,205,11,215,2.1900000000000003e-144,400.0,207,0.9903381642512077,<=>
1149,NMB0580,NGO_1397,96.97,165,5,0,1,165,1,165,2.73e-121,335.0,165,1.0,<=>
1150,NMB0581,NGO_1396,96.57,554,19,0,1,554,1,554,0.0,1123.0,554,1.0,<=>
1151,NMB0582,NGO_1395,88.95,181,20,0,1,181,36,216,3.78e-119,332.0,181,1.0,->
1155,NMB0583,NGO_1302,79.899,199,40,0,25,223,20,218,1.06e-100,287.0,223,0.8923766816143498,->
1173,NMB0586,NGO_0168,93.528,309,16,1,1,305,1,309,0.0,498.0,305,1.0131147540983607,<=>
1174,NMB0587,NGO_0169,93.836,292,18,0,1,292,1,292,0.0,533.0,292,1.0,<=>
1175,NMB0588,NGO_0170,96.032,252,10,0,1,252,1,252,0.0,500.0,252,1.0,<=>
1203,NMB0589,NGO_0171,100.0,122,0,0,1,122,1,122,1.25e-84,239.0,122,1.0,<=>
1204,NMB0590,NGO_0172,96.4,250,9,0,1,250,1,250,0.0,493.0,250,1.0,<=>
1205,NMB0591,NGO_0173,96.471,170,6,0,1,170,1,170,5.73e-121,334.0,170,1.0,<=>
1206,NMB0592,NGO_0174,98.78,82,1,0,1,82,1,82,1.6300000000000002e-56,164.0,82,1.0,<=>
1207,NMB0594,NGO_0176,95.522,469,21,0,1,469,1,469,0.0,924.0,469,1.0,<=>
1210,NMB0595,NGO_0177,100.0,226,0,0,1,226,1,226,2.96e-166,453.0,226,1.0,<=>
1213,NMB0596,NGO_0178,95.041,605,30,0,1,605,1,605,0.0,1181.0,605,1.0,<=>
1214,NMB0597,NGO_0179,95.763,118,5,0,1,118,1,118,7.110000000000001e-79,224.0,118,1.0,<=>
1215,NMB0598,NGO_0180,93.596,203,13,0,1,203,1,203,2.41e-142,391.0,203,1.0,<=>
1217,NMB0599,NGO_0181,94.553,257,14,0,1,257,1,257,1.5399999999999999e-178,487.0,257,1.0,<=>
1218,NMB0600,NGO_0182,92.576,229,17,0,1,229,1,229,3.53e-157,431.0,229,1.0,<=>
1219,NMB0601,NGO_0183,100.0,68,0,0,1,68,1,68,1.99e-44,133.0,68,1.0,<=>
1220,NMB0602,NGO_0184,95.37,108,5,0,1,108,1,108,9.15e-74,210.0,108,1.0,<=>
1221,NMB0603,NGO_0185,95.37,108,5,0,1,108,1,108,5.6e-73,208.0,108,1.0,<=>
1222,NMB0604,NGO_0186,98.028,355,7,0,1,355,1,355,0.0,702.0,355,1.0,<=>
1224,NMB0605,NGO_0187,92.954,369,26,0,1,369,1,369,0.0,712.0,370,0.9972972972972973,<=>
1225,NMB0606,NGO_0188,98.876,89,1,0,1,89,1,89,1.6300000000000002e-59,172.0,89,1.0,<=>
1226,NMB0607,NGO_0189,97.573,618,15,0,2,619,1,618,0.0,1222.0,619,0.9983844911147012,<=>
1228,NMB0608,NGO_0190,97.756,312,7,0,1,312,1,312,0.0,617.0,312,1.0,<=>
1230,NMB0609,NGO_0191,100.0,90,0,0,1,90,1,90,3.38e-63,182.0,90,1.0,<=>
1231,NMB0610,NGO_0192,98.667,375,5,0,46,420,1,375,0.0,768.0,420,0.8928571428571429,<=>
1263,NMB0611,NGO_0195,98.447,322,5,0,1,322,1,322,0.0,635.0,322,1.0,<=>
1269,NMB0612,NGO_0196,99.662,296,1,0,1,296,1,296,0.0,588.0,296,1.0,<=>
1272,NMB0614,NGO_0197,95.37,432,20,0,1,432,1,432,0.0,846.0,432,1.0,<=>
1273,NMB0615,NGO_0198,98.621,435,6,0,1,435,1,435,0.0,849.0,435,1.0,<=>
1274,NMB0617,NGO_0199,98.81,420,5,0,1,420,1,420,0.0,848.0,420,1.0,<=>
1275,NMB0618,NGO_0200,97.61,795,19,0,1,795,1,795,0.0,1605.0,795,1.0,<=>
1277,NMB0619,NGO_0202,98.175,274,5,0,1,274,1,274,0.0,560.0,274,1.0,<=>
1278,NMB0620,NGO_0203,91.403,221,19,0,1,221,1,221,1.37e-153,421.0,221,1.0,<=>
1281,NMB0621,NGO_0204,95.29,276,13,0,1,276,1,276,0.0,541.0,276,1.0,<=>
1282,NMB0622,NGO_0205,99.038,208,2,0,1,208,1,208,1.2e-153,420.0,208,1.0,<=>
1283,NMB0623,NGO_0206,98.684,380,4,1,1,380,1,379,0.0,766.0,380,1.0,<=>
1286,NMB0625,NGO_0208,97.175,177,5,0,1,177,1,177,9.01e-129,355.0,177,1.0,<=>
1287,NMB0626,NGO_0209,98.684,532,7,0,1,532,1,532,0.0,1082.0,532,1.0,<=>
1294,NMB0627,NGO_0210,95.455,132,6,0,1,132,1,132,1.41e-93,262.0,132,1.0,<=>
1295,NMB0628,NGO_0211,98.828,256,3,0,1,256,1,256,0.0,500.0,256,1.0,<=>
1297,NMB0629,NGO_0212,97.561,246,6,0,1,246,1,246,7.71e-177,482.0,246,1.0,<=>
1299,NMB0630,NGO_0213,96.714,213,7,0,1,213,1,213,1.47e-158,433.0,213,1.0,<=>
1300,NMB0631,NGO_0214,97.804,501,11,0,1,501,1,501,0.0,979.0,501,1.0,<=>
1301,NMB0632,NGO_0215,97.45,353,9,0,1,353,1,353,0.0,695.0,353,1.0,<=>
1331,NMB0633,NGO_0216,99.407,506,3,0,1,506,1,506,0.0,999.0,506,1.0,<=>
1336,NMB0634,NGO_0217,99.096,332,3,0,1,332,1,332,0.0,665.0,332,1.0,<=>
1337,NMB0636,NGO_0218,95.575,113,5,0,1,113,1,113,2.82e-78,223.0,128,0.8828125,<=>
1338,NMB0637,NGO_0219,94.989,459,23,0,1,459,1,459,0.0,898.0,459,1.0,<=>
1341,NMB0638,NGO_0220,98.276,290,5,0,1,290,1,290,0.0,581.0,290,1.0,<=>
1344,NMB0639,NGO_0221,94.0,200,12,0,1,200,1,200,4.37e-142,390.0,200,1.0,<=>
1345,NMB0640,NGO_0222,88.462,78,9,0,1,78,1,78,2.35e-43,131.0,78,1.0,<=>
