Locus Tag ID,Annotation,Amino Acid Length/Accession Number,Protein Description,Protein.ID,Location,Percent.Identity,,,,,,,,,,,
NGO_0371,New_annotation_FA1090,"302aa, >lcl|AE004969.1 prot AAW89115.1 363",peroxidase,AAW89115.1,complement(365165..366073),100%,,,,,,,,,,,
NGO0371,Old_annotation_FA1090,"302aa, >lcl|NC 002946.2 cdsid YP 207527.1",hypothetical protein,YP_207527.1,complement(365165..366073),100%,,,,,,,,,,,
NGO0372,Old_annotation_FA1090,"275aa, >lcl|NC 002946.2 cdsid YP 207528.1","ABC transporter periplasmic binding protein, amino acid",YP_207528.1,366358..367185,100%,,,,,,,,,,,
NGO_0372,New_annotation_FA1090,"274aa, >lcl|AE004969.1 prot AAW89116.2 364",amino acid ABC transporter substrate-binding protein,AAW89116.2,366361..367185,100%,,,,,,,,,,,
NGO_0373,New_annotation_FA1090,"238aa, >lcl|AE004969.1 prot AAW89117.1 365",cysteine ABC transporter permease,AAW89117.1,367175..367891,100%,,,,,,,,,,,
NGO0373,Old_annotation_FA1090,"238aa, >lcl|NC 002946.2 cdsid YP 207529.1","ABC transporter permease, amino acid",YP_207529.1,367175..367891,100%,,,,,,,,,,,
NGO_0374,New_annotation_FA1090,"251aa, >lcl|AE004969.1 prot AAW89118.1 366",amino acid ABC transporter ATPase,AAW89118.1,367901..368656,100%,,,,,,,,,,,
NGO0374,Old_annotation_FA1090,"251aa, >lcl|NC 002946.2 cdsid YP 207530.1","ABC transporter ATP-binding protein, amino acid",YP_207530.1,367901..368656,100%,,,,,,,,,,,
NGO_0375,New_annotation_FA1090,"460aa, >lcl|AE004969.1 prot AAW89119.1 367",phosphoglucomutase,AAW89119.1,complement(368712..370094),100%,,,,,,,,,,,
NGO0375,Old_annotation_FA1090,"460aa, >lcl|NC 002946.2 cdsid YP 207531.1",phosphoglucomutase,YP_207531.1,complement(368712..370094),100%,,,,,,,,,,,
NGO_0376,New_annotation_FA1090,"169aa, >lcl|AE004969.1 prot AAW89120.1 368",peptidylprolyl isomerase,AAW89120.1,complement(370262..370771),100%,,,,,,,,,,,
NGO0376,Old_annotation_FA1090,"169aa, >lcl|NC 002946.2 cdsid YP 207532.1",peptidyl-prolyl cis-trans isomerase B,YP_207532.1,complement(370262..370771),100%,,,,,,,,,,,
NGO_0377,New_annotation_FA1090,"471aa, >lcl|AE004969.1 prot AAW89121.1 369",anion:sodium symporter,AAW89121.1,complement(370891..372306),100%,,,,,,,,,,,
NGO0377,Old_annotation_FA1090,"471aa, >lcl|NC 002946.2 cdsid YP 207533.1",transporter,YP_207533.1,complement(370891..372306),100%,,,,,,,,,,,
NGO_0378,New_annotation_FA1090,"120aa, >lcl|AE004969.1 prot AAW89122.1 370",VanZ family protein,AAW89122.1,complement(372535..372897),100%,,,,,,,,,,,
NGO0378,Old_annotation_FA1090,"120aa, >lcl|NC 002946.2 cdsid YP 207534.1",hypothetical protein,YP_207534.1,complement(372535..372897),100%,,,,,,,,,,,
NGO_02015,New_annotation_FA1090,"68aa, >lcl|AE004969.1 prot AKO63617.1 371",dioxygenase,AKO63617.1,complement(372894..373100),Present only in new annotation,,,,,,,,,,,
NGO_0379,New_annotation_FA1090,"192aa, >lcl|AE004969.1 prot AAW89123.1 372",peptidyl-tRNA hydrolase,AAW89123.1,complement(373161..373739),100%,,,,,,,,,,,
NGO0379,Old_annotation_FA1090,"192aa, >lcl|NC 002946.2 cdsid YP 207535.1",peptidyl-tRNA hydrolase,YP_207535.1,complement(373161..373739),100%,,,,,,,,,,,
NGO_0380,New_annotation_FA1090,"92aa, >lcl|AE004969.1 prot AAW89124.1 373",protein RnfH,AAW89124.1,complement(373792..374070),100%,,,,,,,,,,,
NGO0380,Old_annotation_FA1090,"92aa, >lcl|NC 002946.2 cdsid YP 207536.1",hypothetical protein,YP_207536.1,complement(373792..374070),100%,,,,,,,,,,,
NGO_0381,New_annotation_FA1090,"143aa, >lcl|AE004969.1 prot AAW89125.2 374",cyclase,AAW89125.2,complement(374063..374494),100%,,,,,,,,,,,
NGO0381,Old_annotation_FA1090,"145 aa, >lcl |NC_002946.2_cdsid_YP_207537.1",conserved hypothetical protein,YP_207537.1,complement(374063..374500),<100%,,,,,,,,,,,
NGO_0382,New_annotation_FA1090,"655aa, >lcl|AE004969.1 prot AAW89126.1 375",cell division protein FtsH,AAW89126.1,complement(374716..376683),100%,,,,,,,,,,,
NGO0382,Old_annotation_FA1090,"655aa, >lcl|NC 002946.2 cdsid YP 207538.1",hypothetical protein,YP_207538.1,complement(374716..376683),100%,,,,,,,,,,,
NGO_0383,New_annotation_FA1090,"206aa, >lcl|AE004969.1 prot AAW89127.1 376",23S rRNA methyltransferase,AAW89127.1,complement(376747..377367),100%,,,,,,,,,,,
NGO0383,Old_annotation_FA1090,"206aa, >lcl|NC 002946.2 cdsid YP 207539.1",hypothetical protein,YP_207539.1,complement(376747..377367),100%,,,,,,,,,,,
NGO_0384,New_annotation_FA1090,"94aa, >lcl|AE004969.1 prot AAW89128.1 377",ribosome assembly protein YhbY,AAW89128.1,377477..377761,100%,,,,,,,,,,,
NGO0384,Old_annotation_FA1090,"94aa, >lcl|NC 002946.2 cdsid YP 207540.1",hypothetical protein,YP_207540.1,377477..377761,100%,,,,,,,,,,,
NGO0385,Old_annotation_FA1090,"338 aa, >lcl |NC_002946.2_cdsid_YP_207541.1",putative delta-aminolevulinic acid dehydratase,YP_207541.1,377930..378946,<100%,,,,,,,,,,,
NGO_0385,New_annotation_FA1090,"333aa, >lcl|AE004969.1 prot AAW89129.2 378",delta-aminolevulinic acid dehydratase,AAW89129.2,377945..378946,100%,,,,,,,,,,,
NGO_0386,New_annotation_FA1090,"385aa, >lcl|AE004969.1 prot AAW89130.1 379",cystathionine gamma-synthase,AAW89130.1,complement(379010..380167),100%,,,,,,,,,,,
NGO0386,Old_annotation_FA1090,"385aa, >lcl|NC 002946.2 cdsid YP 207542.1",lyase,YP_207542.1,complement(379010..380167),100%,,,,,,,,,,,
NGO_0387,New_annotation_FA1090,"257aa, >lcl|AE004969.1 prot AAW89131.1 380",GTP cyclohydrolase,AAW89131.1,380370..381143,100%,,,,,,,,,,,
NGO0387,Old_annotation_FA1090,"257aa, >lcl|NC 002946.2 cdsid YP 207543.1",GTP cyclohydrolase,YP_207543.1,380370..381143,100%,,,,,,,,,,,
NGO_0388,New_annotation_FA1090,"221aa, >lcl|AE004969.1 prot AAW89132.1 381",NAD(P)H nitroreductase,AAW89132.1,381340..382005,100%,,,,,,,,,,,
NGO0388,Old_annotation_FA1090,"221aa, >lcl|NC 002946.2 cdsid YP 207544.1","oxidoreductase, NAD(P)H-flavin",YP_207544.1,381340..382005,100%,,,,,,,,,,,
NGO_0389,New_annotation_FA1090,"252aa, >lcl|AE004969.1 prot AAW89133.1 382",pseudouridylate synthase,AAW89133.1,complement(382060..382818),100%,,,,,,,,,,,
NGO0389,Old_annotation_FA1090,"252aa, >lcl|NC 002946.2 cdsid YP 207545.1",hypothetical protein,YP_207545.1,complement(382060..382818),100%,,,,,,,,,,,
NGO_0390,New_annotation_FA1090,"296aa, >lcl|AE004969.1 prot AAW89134.1 383",inorganic polyphosphate kinase,AAW89134.1,complement(382843..383733),100%,,,,,,,,,,,
NGO0390,Old_annotation_FA1090,"296aa, >lcl|NC 002946.2 cdsid YP 207546.1",inorganic polyphosphate/ATP-NAD kinase,YP_207546.1,complement(382843..383733),100%,,,,,,,,,,,
NGO_0391,New_annotation_FA1090,"188aa, >lcl|AE004969.1 prot AAW89135.1 384",hypothetical protein,AAW89135.1,complement(383753..384319),100%,,,,,,,,,,,
NGO0391,Old_annotation_FA1090,"188aa, >lcl|NC 002946.2 cdsid YP 207547.1",hypothetical protein,YP_207547.1,complement(383753..384319),100%,,,,,,,,,,,
NGO_0392,New_annotation_FA1090,"258aa, >lcl|AE004969.1 prot AAW89136.1 385",hypothetical protein,AAW89136.1,complement(384369..385145),100%,,,,,,,,,,,
NGO0392,Old_annotation_FA1090,"258aa, >lcl|NC 002946.2 cdsid YP 207548.1",hypothetical protein,YP_207548.1,complement(384369..385145),100%,,,,,,,,,,,
NGO_0393,New_annotation_FA1090,"216aa, >lcl|AE004969.1 prot AAW89137.1 386",TetR family transcriptional regulator,AAW89137.1,complement(385200..385850),100%,,,,,,,,,,,
NGO0393,Old_annotation_FA1090,"216aa, >lcl|NC 002946.2 cdsid YP 207549.1",TetR family transcriptional regulator,YP_207549.1,complement(385200..385850),100%,,,,,,,,,,,
NGO_0394,New_annotation_FA1090,"346aa, >lcl|AE004969.1 prot AAW89138.1 387",UDP-N-acetylenolpyruvoylglucosamine reductase,AAW89138.1,complement(385862..386902),100%,,,,,,,,,,,
NGO0394,Old_annotation_FA1090,"346aa, >lcl|NC 002946.2 cdsid YP 207550.1",UDP-N-acetylenolpyruvoylglucosamine reductase,YP_207550.1,complement(385862..386902),100%,,,,,,,,,,,
NGO_0395,New_annotation_FA1090,"459aa, >lcl|AE004969.1 prot AAW89139.1 388",multidrug transporter,AAW89139.1,complement(386946..388325),100%,,,,,,,,,,,
NGO0395,Old_annotation_FA1090,"459aa, >lcl|NC 002946.2 cdsid YP 207551.1",multidrug efflux protein,YP_207551.1,complement(386946..388325),100%,,,,,,,,,,,
NGO_0396,New_annotation_FA1090,"62aa, >lcl|AE004969.1 prot AAW89140.1 389",hypothetical protein,AAW89140.1,388382..388570,100%,,,,,,,,,,,
NGO0396,Old_annotation_FA1090,"62aa, >lcl|NC 002946.2 cdsid YP 207552.1",hypothetical protein,YP_207552.1,388382..388570,100%,,,,,,,,,,,
NGO_0397,New_annotation_FA1090,"383aa, >lcl|AE004969.1 prot AAW89141.1 390",ATP phosphoribosyltransferase regulatory subunit,AAW89141.1,388662..389813,100%,,,,,,,,,,,
NGO0397,Old_annotation_FA1090,"383aa, >lcl|NC 002946.2 cdsid YP 207553.1",ATP phosphoribosyltransferase,YP_207553.1,388662..389813,100%,,,,,,,,,,,
NGO0398,Old_annotation_FA1090,"434 aa, >lcl |NC_002946.2_cdsid_YP_207554.1",putative adenylosuccinate synthetase,YP_207554.1,389912..391216,<100%,,,,,,,,,,,
NGO_0398,New_annotation_FA1090,"432aa, >lcl|AE004969.1 prot AAW89142.2 391",adenylosuccinate synthetase,AAW89142.2,389918..391216,100%,,,,,,,,,,,
NGO_0399,New_annotation_FA1090,"279aa, >lcl|AE004969.1 prot AAW89143.1 392",heat shock protein HtpX,AAW89143.1,complement(391452..392291),100%,,,,,,,,,,,
NGO0399,Old_annotation_FA1090,"279aa, >lcl|NC 002946.2 cdsid YP 207555.1",heat shock protein HtpX,YP_207555.1,complement(391452..392291),100%,,,,,,,,,,,
NGO_0400,New_annotation_FA1090,"215aa, >lcl|AE004969.1 prot AAW89144.1 393",adenylate kinase,AAW89144.1,392506..393153,100%,,,,,,,,,,,
NGO0400,Old_annotation_FA1090,"215aa, >lcl|NC 002946.2 cdsid YP 207556.1",adenylate kinase,YP_207556.1,392506..393153,100%,,,,,,,,,,,
NGO_0401,New_annotation_FA1090,"246aa, >lcl|AE004969.1 prot AAW89145.1 394",orotidine 5'-phosphate decarboxylase,AAW89145.1,393677..394417,100%,,,,,,,,,,,
NGO0401,Old_annotation_FA1090,"246aa, >lcl|NC 002946.2 cdsid YP 207557.1",orotidine 5'-phosphate decarboxylase,YP_207557.1,393677..394417,100%,,,,,,,,,,,
NGO_0403,New_annotation_FA1090,"334aa, >lcl|AE004969.1 prot AAW89147.1 395",ADP-L-glycero-D-manno-heptose-6-epimerase,AAW89147.1,395499..396503,100%,,,,,,,,,,,
NGO0403,Old_annotation_FA1090,"334aa, >lcl|NC 002946.2 cdsid YP 207559.1",ADP-L-glycero-D-manno-heptose-6-epimerase,YP_207559.1,395499..396503,100%,,,,,,,,,,,
NGO_0404,New_annotation_FA1090,"514aa, >lcl|AE004969.1 prot AAW89148.1 396","restriction endonuclease, M subunit",AAW89148.1,396578..398122,100%,,,,,,,,,,,
NGO0404,Old_annotation_FA1090,"514aa, >lcl|NC 002946.2 cdsid YP 207560.1",type I restriction-modification system methyltransferase,YP_207560.1,396578..398122,100%,,,,,,,,,,,
NGO_0405,New_annotation_FA1090,"283aa, >lcl|AE004969.1 prot AAW89149.1 397",damage-inducible protein D,AAW89149.1,398238..399089,100%,,,,,,,,,,,
NGO0405,Old_annotation_FA1090,"283aa, >lcl|NC 002946.2 cdsid YP 207561.1",DNA-damage-inducible protein D,YP_207561.1,398238..399089,100%,,,,,,,,,,,
NGO_02155,New_annotation_FA1090,"208aa, >lcl|AE004969.1 prot AKO63618.1 398",restriction endonuclease EcoprrI subunit S,AKO63618.1,399256..399882,Present only in new annotation,,,,,,,,,,,
NGO_02160,New_annotation_FA1090,"207aa, >lcl|AE004969.1 prot AKO63619.1 399",restriction endonuclease subunit S,AKO63619.1,399854..400477,Present only in new annotation,,,,,,,,,,,
NGO_0407,New_annotation_FA1090,"1032aa, >lcl|AE004969.1 prot AAW89150.1 400",restriction endonuclease,AAW89150.1,400709..403807,100%,,,,,,,,,,,
NGO0407,Old_annotation_FA1090,"1032aa, >lcl|NC 002946.2 cdsid YP 207562.1",type I site-specific deoxyribonuclease,YP_207562.1,400709..403807,100%,,,,,,,,,,,
NGO_0408,New_annotation_FA1090,"763aa, >lcl|AE004969.1 prot AAW89151.1 401",Clp protease ClpX,AAW89151.1,complement(403847..406138),100%,,,,,,,,,,,
NGO0408,Old_annotation_FA1090,"763aa, >lcl|NC 002946.2 cdsid YP 207563.1",hypothetical protein,YP_207563.1,complement(403847..406138),100%,,,,,,,,,,,
NGO_0409,New_annotation_FA1090,"104aa, >lcl|AE004969.1 prot AAW89152.2 402",Clp protease ClpS,AAW89152.2,complement(406140..406454),100%,,,,,,,,,,,
NGO0409,Old_annotation_FA1090,"100aa, >lcl|NC 002946.2 cdsid YP 207564.1",ATP-dependent Clp protease adaptor protein ClpS,YP_207564.1,complement(406140..406442),100%,,,,,,,,,,,
NGO_0410,New_annotation_FA1090,"67aa, >lcl|AE004969.1 prot AAW89153.1 403",cold-shock protein,AAW89153.1,406687..406890,100%,,,,,,,,,,,
NGO0410,Old_annotation_FA1090,"67aa, >lcl|NC 002946.2 cdsid YP 207565.1",CspA protein,YP_207565.1,406687..406890,100%,,,,,,,,,,,
NGO_0411,New_annotation_FA1090,"443aa, >lcl|AE004969.1 prot AAW89154.1 404",peptidase PmbA,AAW89154.1,complement(407189..408520),100%,,,,,,,,,,,
NGO0411,Old_annotation_FA1090,"443aa, >lcl|NC 002946.2 cdsid YP 207566.1",hypothetical protein,YP_207566.1,complement(407189..408520),100%,,,,,,,,,,,
NGO_0412,New_annotation_FA1090,"168aa, >lcl|AE004969.1 prot AAW89155.1 405",hypothetical protein,AAW89155.1,408674..409180,100%,,,,,,,,,,,
NGO0412,Old_annotation_FA1090,"168aa, >lcl|NC 002946.2 cdsid YP 207567.1",hypothetical protein,YP_207567.1,408674..409180,100%,,,,,,,,,,,
NGO_0413,New_annotation_FA1090,"237aa, >lcl|AE004969.1 prot AAW89156.1 406",membrane protein,AAW89156.1,409227..409940,100%,,,,,,,,,,,
NGO0413,Old_annotation_FA1090,"237aa, >lcl|NC 002946.2 cdsid YP 207568.1",thiosulfate sulfur transferase,YP_207568.1,409227..409940,100%,,,,,,,,,,,
NGO_0414,New_annotation_FA1090,"566aa, >lcl|AE004969.1 prot AAW89157.1 407",single-stranded DNA exonuclease,AAW89157.1,410009..411709,100%,,,,,,,,,,,
NGO0414,Old_annotation_FA1090,"566aa, >lcl|NC 002946.2 cdsid YP 207569.1",hypothetical protein,YP_207569.1,410009..411709,100%,,,,,,,,,,,
NGO_0415,New_annotation_FA1090,"452aa, >lcl|AE004969.1 prot AAW89158.1 408",PcnB,AAW89158.1,412067..413425,100%,,,,,,,,,,,
NGO0415,Old_annotation_FA1090,"452aa, >lcl|NC 002946.2 cdsid YP 207570.1",hypothetical protein,YP_207570.1,412067..413425,100%,,,,,,,,,,,
NGO_0416,New_annotation_FA1090,"107aa, >lcl|AE004969.1 prot AAW89159.1 409",periplasmic protein,AAW89159.1,413598..413921,100%,,,,,,,,,,,
NGO0416,Old_annotation_FA1090,"107aa, >lcl|NC 002946.2 cdsid YP 207571.1",hypothetical protein,YP_207571.1,413598..413921,100%,,,,,,,,,,,
NGO_0417,New_annotation_FA1090,"317aa, >lcl|AE004969.1 prot AAW89160.1 410",phosphate starvation protein PhoH,AAW89160.1,complement(414026..414979),100%,,,,,,,,,,,
NGO0417,Old_annotation_FA1090,"317aa, >lcl|NC 002946.2 cdsid YP 207572.1",hypothetical protein,YP_207572.1,complement(414026..414979),100%,,,,,,,,,,,
NGO_0418,New_annotation_FA1090,"185aa, >lcl|AE004969.1 prot AAW89161.2 411",glycosyl transferase,AAW89161.2,complement(415005..415562),100%,,,,,,,,,,,
NGO0418,Old_annotation_FA1090,"161 aa, >lcl |NC_002946.2_cdsid_YP_207573.1",putative glycosyl transferase,YP_207573.1,complement(415005..415490),<100%,,,,,,,,,,,
NGO_0419,New_annotation_FA1090,"195aa, >lcl|AE004969.1 prot AAW89162.1 412",glycosyltransferase,AAW89162.1,complement(415590..416177),100%,,,,,,,,,,,
NGO0419,Old_annotation_FA1090,"195aa, >lcl|NC 002946.2 cdsid YP 207574.1",hypothetical protein,YP_207574.1,complement(415590..416177),100%,,,,,,,,,,,
NGO_0420,New_annotation_FA1090,"244aa, >lcl|AE004969.1 prot AAW89163.1 413",hypothetical protein,AAW89163.1,416315..417049,100%,,,,,,,,,,,
NGO0420,Old_annotation_FA1090,"244aa, >lcl|NC 002946.2 cdsid YP 207575.1",hypothetical protein,YP_207575.1,416315..417049,100%,,,,,,,,,,,
NGO_0421,New_annotation_FA1090,"188aa, >lcl|AE004969.1 prot AAW89164.1 414",deoxycytidine triphosphate deaminase,AAW89164.1,complement(417115..417681),100%,,,,,,,,,,,
NGO0421,Old_annotation_FA1090,"188aa, >lcl|NC 002946.2 cdsid YP 207576.1",deoxycytidine triphosphate deaminase,YP_207576.1,complement(417115..417681),100%,,,,,,,,,,,
NGO_0422,New_annotation_FA1090,"129aa, >lcl|AE004969.1 prot AAW89165.1 415",MORN repeat family protein,AAW89165.1,complement(417777..418166),100%,,,,,,,,,,,
NGO0422,Old_annotation_FA1090,"129aa, >lcl|NC 002946.2 cdsid YP 207577.1",hypothetical protein,YP_207577.1,complement(417777..418166),100%,,,,,,,,,,,
NGO_0423,New_annotation_FA1090,"299aa, >lcl|AE004969.1 prot AAW89166.1 416",recombinase RdgC,AAW89166.1,complement(418218..419117),100%,,,,,,,,,,,
NGO0423,Old_annotation_FA1090,"299aa, >lcl|NC 002946.2 cdsid YP 207578.1",recombination associated protein,YP_207578.1,complement(418218..419117),100%,,,,,,,,,,,
NGO_0424,New_annotation_FA1090,"485aa, >lcl|AE004969.1 prot AAW89167.1 417",GTP-binding protein Der,AAW89167.1,complement(419148..420605),100%,,,,,,,,,,,
NGO0424,Old_annotation_FA1090,"485aa, >lcl|NC 002946.2 cdsid YP 207579.1",GTP-binding protein EngA,YP_207579.1,complement(419148..420605),100%,,,,,,,,,,,
NGO_0425,New_annotation_FA1090,"209aa, >lcl|AE004969.1 prot AAW89168.1 418",hypothetical protein,AAW89168.1,complement(420755..421384),100%,,,,,,,,,,,
NGO0425,Old_annotation_FA1090,"209aa, >lcl|NC 002946.2 cdsid YP 207580.1",hypothetical protein,YP_207580.1,complement(420755..421384),100%,,,,,,,,,,,
NGO_0426,New_annotation_FA1090,"431aa, >lcl|AE004969.1 prot AAW89169.1 419",histidyl-tRNA synthase,AAW89169.1,complement(421385..422680),100%,,,,,,,,,,,
NGO0426,Old_annotation_FA1090,"431aa, >lcl|NC 002946.2 cdsid YP 207581.1",histidyl-tRNA synthetase,YP_207581.1,complement(421385..422680),100%,,,,,,,,,,,
NGO_0427,New_annotation_FA1090,"218aa, >lcl|AE004969.1 prot AAW89170.1 420",peptidase C39,AAW89170.1,complement(422808..423464),100%,,,,,,,,,,,
NGO0427,Old_annotation_FA1090,"218aa, >lcl|NC 002946.2 cdsid YP 207582.1",hypothetical protein,YP_207582.1,complement(422808..423464),100%,,,,,,,,,,,
NGO_0428,New_annotation_FA1090,"74aa, >lcl|AE004969.1 prot AAW89171.1 421",membrane protein,AAW89171.1,complement(423520..423744),100%,,,,,,,,,,,
NGO0428,Old_annotation_FA1090,"74aa, >lcl|NC 002946.2 cdsid YP 207583.1",hypothetical protein,YP_207583.1,complement(423520..423744),100%,,,,,,,,,,,
NGO_0429,New_annotation_FA1090,"45aa, >lcl|AE004969.1 prot AAW89172.1 422",hypothetical protein,AAW89172.1,complement(423973..424110),100%,,,,,,,,,,,
NGO0429,Old_annotation_FA1090,"45aa, >lcl|NC 002946.2 cdsid YP 207584.1",hypothetical protein,YP_207584.1,complement(423973..424110),100%,,,,,,,,,,,
NGO_02280,New_annotation_FA1090,"90aa, >lcl|AE004969.1 prot AKO63620.1 423",membrane protein,AKO63620.1,complement(424690..424962),Present only in new annotation,,,,,,,,,,,
NGO_0430,New_annotation_FA1090,"96aa, >lcl|AE004969.1 prot AAW89173.1 424",membrane protein,AAW89173.1,complement(425228..425518),100%,,,,,,,,,,,
NGO0430,Old_annotation_FA1090,"96aa, >lcl|NC 002946.2 cdsid YP 207585.1",hypothetical protein,YP_207585.1,complement(425228..425518),100%,,,,,,,,,,,
NGO_02290,New_annotation_FA1090,"67aa, >lcl|AE004969.1 prot AKO63621.1 425",hypothetical protein,AKO63621.1,complement(425839..426042),Present only in new annotation,,,,,,,,,,,
NGO_0432,New_annotation_FA1090,"180aa, >lcl|AE004969.1 prot AAW89174.1 426",hypothetical protein,AAW89174.1,complement(426078..426620),100%,,,,,,,,,,,
NGO0432,Old_annotation_FA1090,"180aa, >lcl|NC 002946.2 cdsid YP 207586.1",hypothetical protein,YP_207586.1,complement(426078..426620),100%,,,,,,,,,,,
NGO_0433,New_annotation_FA1090,"307aa, >lcl|AE004969.1 prot AAW89175.1 427",pseudouridine synthase,AAW89175.1,426786..427709,100%,,,,,,,,,,,
NGO0433,Old_annotation_FA1090,"307aa, >lcl|NC 002946.2 cdsid YP 207587.1",hypothetical protein,YP_207587.1,426786..427709,100%,,,,,,,,,,,
NGO_0434,New_annotation_FA1090,"213aa, >lcl|AE004969.1 prot AAW89176.1 428",alpha/beta hydrolase,AAW89176.1,complement(427788..428429),100%,,,,,,,,,,,
NGO0434,Old_annotation_FA1090,"213aa, >lcl|NC 002946.2 cdsid YP 207588.1",hypothetical protein,YP_207588.1,complement(427788..428429),100%,,,,,,,,,,,
NGO_0435,New_annotation_FA1090,"263aa, >lcl|AE004969.1 prot AAW89177.1 429",spermidine synthase,AAW89177.1,complement(428484..429275),100%,,,,,,,,,,,
NGO0435,Old_annotation_FA1090,"263aa, >lcl|NC 002946.2 cdsid YP 207589.1",spermidine synthase,YP_207589.1,complement(428484..429275),100%,,,,,,,,,,,
NGO_0436,New_annotation_FA1090,"263aa, >lcl|AE004969.1 prot AAW89178.1 430",3-methyl-2-oxobutanoate hydroxymethyltransferase,AAW89178.1,429658..430449,100%,,,,,,,,,,,
NGO0436,Old_annotation_FA1090,"263aa, >lcl|NC 002946.2 cdsid YP 207590.1",3-methyl-2-oxobutanoate hydroxymethyltransferase,YP_207590.1,429658..430449,100%,,,,,,,,,,,
NGO_0437,New_annotation_FA1090,"278aa, >lcl|AE004969.1 prot AAW89179.1 431",pantothenate synthetase,AAW89179.1,430572..431408,100%,,,,,,,,,,,
NGO0437,Old_annotation_FA1090,"278aa, >lcl|NC 002946.2 cdsid YP 207591.1",pantoate--beta-alanine ligase,YP_207591.1,430572..431408,100%,,,,,,,,,,,
NGO_0439,New_annotation_FA1090,"193aa, >lcl|AE004969.1 prot AAW89180.1 432",membrane protein,AAW89180.1,433712..434293,100%,,,,,,,,,,,
NGO0439,Old_annotation_FA1090,"193aa, >lcl|NC 002946.2 cdsid YP 207592.1",outer membrane lipoprotein LolB,YP_207592.1,433712..434293,100%,,,,,,,,,,,
NGO_0440,New_annotation_FA1090,"281aa, >lcl|AE004969.1 prot AAW89181.1 433",4-diphosphocytidyl-2C-methyl-D-erythritol kinase,AAW89181.1,434303..435148,100%,,,,,,,,,,,
NGO0440,Old_annotation_FA1090,"281aa, >lcl|NC 002946.2 cdsid YP 207593.1",4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,YP_207593.1,434303..435148,100%,,,,,,,,,,,
NGO_0441,New_annotation_FA1090,"327aa, >lcl|AE004969.1 prot AAW89182.1 434",ribose-phosphate pyrophosphokinase,AAW89182.1,435487..436470,100%,,,,,,,,,,,
NGO0441,Old_annotation_FA1090,"327aa, >lcl|NC 002946.2 cdsid YP 207594.1",ribose-phosphate pyrophosphokinase,YP_207594.1,435487..436470,100%,,,,,,,,,,,
NGO_0442,New_annotation_FA1090,"190aa, >lcl|AE004969.1 prot AAW89183.1 435",50S ribosomal protein L25,AAW89183.1,436537..437109,100%,,,,,,,,,,,
NGO0442,Old_annotation_FA1090,"190aa, >lcl|NC 002946.2 cdsid YP 207595.1",50S ribosomal protein L25,YP_207595.1,436537..437109,100%,,,,,,,,,,,
NGO_0443,New_annotation_FA1090,"389aa, >lcl|AE004969.1 prot AAW89184.1 436",cytochrome C550,AAW89184.1,complement(437235..438404),100%,,,,,,,,,,,
NGO0443,Old_annotation_FA1090,"389aa, >lcl|NC 002946.2 cdsid YP 207596.1",D-alanyl-D-alanine carboxypeptidase / penicillin binding protein,YP_207596.1,complement(437235..438404),100%,,,,,,,,,,,
NGO_0444,New_annotation_FA1090,"508aa, >lcl|AE004969.1 prot AAW89185.1 437",threonine dehydratase,AAW89185.1,438553..440079,100%,,,,,,,,,,,
NGO0444,Old_annotation_FA1090,"508aa, >lcl|NC 002946.2 cdsid YP 207597.1",threonine dehydratase,YP_207597.1,438553..440079,100%,,,,,,,,,,,
NGO_0445,New_annotation_FA1090,"358aa, >lcl|AE004969.1 prot AAW89186.1 438",sulfate ABC transporter ATP-binding protein,AAW89186.1,complement(440135..441211),100%,,,,,,,,,,,
NGO0445,Old_annotation_FA1090,"358aa, >lcl|NC 002946.2 cdsid YP 207598.1",ABC transporter ATP-binding protein,YP_207598.1,complement(440135..441211),100%,,,,,,,,,,,
NGO_0446,New_annotation_FA1090,"273aa, >lcl|AE004969.1 prot AAW89187.1 439",sulfate ABC transporter permease,AAW89187.1,complement(441352..442173),100%,,,,,,,,,,,
NGO0446,Old_annotation_FA1090,"273aa, >lcl|NC 002946.2 cdsid YP 207599.1",ABC transporter,YP_207599.1,complement(441352..442173),100%,,,,,,,,,,,
NGO_0448,New_annotation_FA1090,"110aa, >lcl|AE004969.1 prot AAW89188.1 440",general secretion pathway protein GspG,AAW89188.1,443377..443709,100%,,,,,,,,,,,
NGO0448,Old_annotation_FA1090,"110aa, >lcl|NC 002946.2 cdsid YP 207600.1",hypothetical protein,YP_207600.1,443377..443709,100%,,,,,,,,,,,
NGO_0449,New_annotation_FA1090,"169aa, >lcl|AE004969.1 prot AAW89189.1 441",membrane protein,AAW89189.1,444039..444548,100%,,,,,,,,,,,
NGO0449,Old_annotation_FA1090,"169aa, >lcl|NC 002946.2 cdsid YP 207601.1",hypothetical protein,YP_207601.1,444039..444548,100%,,,,,,,,,,,
NGO_0451,New_annotation_FA1090,"468aa, >lcl|AE004969.1 prot AAW89190.1 442",DNA helicase,AAW89190.1,445524..446930,100%,,,,,,,,,,,
NGO0451,Old_annotation_FA1090,"468aa, >lcl|NC 002946.2 cdsid YP 207602.1",replicative DNA helicase,YP_207602.1,445524..446930,100%,,,,,,,,,,,
NGO_0452,New_annotation_FA1090,"221aa, >lcl|AE004969.1 prot AAW89191.1 443",ferrous iron transporter B,AAW89191.1,447238..447903,100%,,,,,,,,,,,
